工作区,raw份数,exit,判读
wip-adams-131,70,0,干净
wip-barton-117,0,-,**无 raw/：本次未核（不是通过）**
wip-benardos-128,1,0,干净
wip-bessemer-132,55,0,干净
wip-blackwell-118,89,0,干净
wip-carver-127,38,0,干净
wip-cicero-166,18,1,**有装饰性引用**
wip-coffin-130,19,0,干净
wip-fleming-111,0,-,**无 raw/：本次未核（不是通过）**
wip-gantt-156,31,0,干净
wip-koch-107,121,0,干净
wip-liebig-124,65,1,**有装饰性引用**
wip-lister-108,61,0,干净
wip-martens-134,26,0,干净
wip-mendel-125,17,0,干净
wip-nasmyth-153,12,0,干净
wip-nightingale-112,0,-,**无 raw/：本次未核（不是通过）**
wip-osler-110,0,-,**无 raw/：本次未核（不是通过）**
wip-pacioli-161,11,1,**有装饰性引用**
wip-pasteur-106,60,0,干净
wip-paton-162,21,0,干净
wip-roberts-austen-135,33,0,干净
wip-rosenhain-138,16,0,干净
wip-semmelweis-105,60,0,干净
wip-shewhart-165,13,0,干净
wip-sorby-133,0,-,**无 raw/：本次未核（不是通过）**
wip-thomson-129,54,0,干净
wip-virchow-109,0,-,**无 raw/：本次未核（不是通过）**
wip-whitworth-152,19,0,干净
